time,rwSpeed,eState,eSpeed,ePID,eP,eI,eD,pState,pEncoder,pLoadCellForce,pMotorCurrent,pControllerOutput,sState,sEncoder,sLoadCellForce,sMotorCurrent,sControllerOutput,sEncoderPID,sLoadCellPID,sLoadCellP,sLoadCellI,sLoadCellD
17264185,0,1,1946,0,0,0,0,4,5976,1,1,0,4,12957,-59,77,8,670,-92,-11,-80,0
17274186,0,1,1942,0,0,0,0,4,5976,1,0,0,4,12957,-60,72,8,670,-92,-12,-80,0
17284185,0,1,1940,0,0,0,0,4,5976,1,0,0,4,12957,-59,88,8,670,-92,-11,-80,0
17294184,0,1,1943,0,0,0,0,4,5976,1,0,0,4,12957,-60,60,8,670,-92,-12,-80,0
17304200,0,1,1944,0,0,0,0,4,5976,1,0,0,4,12957,-59,78,8,670,-92,-11,-80,0
17314180,0,1,1945,0,0,0,0,4,5976,1,0,0,4,12957,-59,83,8,670,-92,-11,-80,0
17324200,0,1,1947,0,0,0,0,4,5976,1,0,0,4,12957,-60,62,7,670,-93,-12,-81,0
17334185,0,1,1949,0,0,0,0,4,5976,1,0,0,4,12957,-60,65,7,670,-93,-12,-81,0
17344184,0,1,1951,0,0,0,0,4,5976,1,0,0,4,12957,-59,48,8,670,-92,-11,-81,0
17354183,0,1,1952,0,0,0,0,4,5976,1,0,0,4,12957,-59,76,7,670,-93,-11,-81,0
17364182,0,1,1949,0,0,0,0,4,5976,1,0,0,4,12957,-60,72,7,670,-93,-12,-81,0
17374198,0,1,1948,0,0,0,0,4,5976,1,0,0,4,12957,-59,48,7,670,-93,-11,-81,0
17384198,0,1,1946,0,0,0,0,4,5976,1,0,0,4,12957,-60,64,7,670,-93,-12,-81,0
17394181,0,1,1944,0,0,0,0,4,5976,1,0,0,4,12957,-59,65,7,670,-93,-11,-81,0
17404181,0,1,1943,0,0,0,0,4,5976,1,0,0,4,12957,-59,55,7,670,-93,-11,-82,0
17414191,0,1,1944,0,0,0,0,4,5976,1,0,0,4,12957,-59,68,7,670,-93,-11,-82,0
17424190,0,1,1948,0,0,0,0,4,5976,1,0,0,4,12957,-60,47,6,670,-94,-12,-82,0
