Ratio Percentage,Primary Enc Counts From Zero,Secondary Enc Counts from zero,Clamping Force (lbf)
632,35308,14683,235
631,35342,14652,235
630,35377,14621,234
629,35411,14591,234
628,35445,14561,234
627,35480,14530,234
626,35514,14500,234
625,35548,14470,234
624,35581,14439,233
623,35615,14409,233
622,35649,14379,233
621,35683,14349,233
620,35716,14319,233
619,35750,14289,233
618,35783,14259,232
617,35817,14229,232
616,35850,14200,232
615,35883,14170,232
614,35916,14140,232
613,35949,14111,232
612,35982,14081,231
611,36015,14052,231
610,36048,14022,231
609,36081,13993,231
608,36113,13964,231
607,36146,13934,231
606,36179,13905,230
605,36211,13876,230
604,36243,13847,230
603,36276,13818,230
602,36308,13789,230
601,36340,13760,230
600,36372,13731,230
599,36404,13702,229
598,36436,13674,229
597,36468,13645,229
596,36500,13616,229
595,36532,13588,229
594,36563,13559,229
593,36595,13530,228
592,36626,13502,228
591,36658,13474,228
590,36689,13445,228
589,36721,13417,228
588,36752,13389,228
587,36783,13360,228
586,36814,13332,227
585,36845,13304,227
584,36876,13276,227
583,36907,13248,227
582,36938,13220,227
581,36969,13192,227
580,37000,13164,226
579,37030,13136,226
578,37061,13109,226
577,37091,13081,226
576,37122,13053,226
575,37152,13026,226
574,37182,12998,226
573,37213,12971,225
572,37243,12943,225
571,37273,12916,225
570,37303,12888,225
569,37333,12861,225
568,37363,12834,225
567,37393,12806,225
566,37423,12779,224
565,37452,12752,224
564,37482,12725,224
563,37512,12698,224
562,37541,12671,224
561,37571,12644,224
560,37600,12617,224
559,37630,12590,224
558,37659,12563,223
557,37688,12537,223
556,37717,12510,223
555,37747,12483,223
554,37776,12457,223
553,37805,12430,223
552,37834,12403,223
551,37862,12377,222
550,37891,12351,222
549,37920,12324,222
548,37949,12298,222
547,37977,12271,222
546,38006,12245,222
545,38035,12219,222
544,38063,12193,222
543,38092,12167,221
542,38120,12140,221
541,38148,12114,221
540,38176,12088,221
539,38205,12062,221
538,38233,12036,221
537,38261,12011,221
536,38289,11985,221
535,38317,11959,220
534,38345,11933,220
533,38373,11907,220
532,38400,11882,220
531,38428,11856,220
530,38456,11830,220
529,38484,11805,220
528,38511,11779,220
527,38539,11754,219
526,38566,11728,219
525,38594,11703,219
524,38621,11678,219
523,38648,11652,219
522,38676,11627,219
521,38703,11602,219
520,38730,11577,219
519,38757,11552,218
518,38784,11527,218
517,38811,11501,218
516,38838,11476,218
515,38865,11451,218
514,38892,11426,218
513,38919,11402,218
512,38945,11377,218
511,38972,11352,218
510,38999,11327,217
509,39025,11302,217
508,39052,11278,217
507,39078,11253,217
506,39105,11228,217
505,39131,11204,217
504,39157,11179,217
503,39184,11155,217
502,39210,11130,216
501,39236,11106,216
500,39262,11081,216
499,39288,11057,216
498,39314,11033,216
497,39340,11008,216
496,39366,10984,216
495,39392,10960,216
494,39418,10936,216
493,39444,10912,215
492,39469,10887,215
491,39495,10863,215
490,39521,10839,215
489,39546,10815,215
488,39572,10791,215
487,39597,10768,215
486,39623,10744,215
485,39648,10720,215
484,39673,10696,214
483,39699,10672,214
482,39724,10649,214
481,39749,10625,214
480,39774,10601,214
479,39800,10578,214
478,39825,10554,214
477,39850,10530,214
476,39875,10507,214
475,39900,10483,214
474,39924,10460,213
473,39949,10437,213
472,39974,10413,213
471,39999,10390,213
470,40024,10366,213
469,40048,10343,213
468,40073,10320,213
467,40097,10297,213
466,40122,10274,213
465,40146,10250,212
464,40171,10227,212
463,40195,10204,212
462,40220,10181,212
461,40244,10158,212
460,40268,10135,212
459,40293,10112,212
458,40317,10089,212
457,40341,10067,212
456,40365,10044,212
455,40389,10021,211
454,40413,9998,211
453,40437,9976,211
452,40461,9953,211
451,40485,9930,211
450,40509,9908,211
449,40532,9885,211
448,40556,9862,211
447,40580,9840,211
446,40604,9817,211
445,40627,9795,211
444,40651,9772,210
443,40674,9750,210
442,40698,9728,210
441,40721,9705,210
440,40745,9683,210
439,40768,9661,210
438,40791,9639,210
437,40815,9616,210
436,40838,9594,210
435,40861,9572,210
434,40884,9550,209
433,40908,9528,209
432,40931,9506,209
431,40954,9484,209
430,40977,9462,209
429,41000,9440,209
428,41023,9418,209
427,41046,9396,209
426,41068,9374,209
425,41091,9352,209
424,41114,9330,209
423,41137,9309,208
422,41160,9287,208
421,41182,9265,208
420,41205,9244,208
419,41227,9222,208
418,41250,9200,208
417,41273,9179,208
416,41295,9157,208
415,41317,9136,208
414,41340,9114,208
413,41362,9093,208
412,41385,9071,207
411,41407,9050,207
410,41429,9028,207
409,41451,9007,207
408,41473,8986,207
407,41496,8964,207
406,41518,8943,207
405,41540,8922,207
404,41562,8901,207
403,41584,8880,207
402,41606,8858,207
401,41628,8837,206
400,41650,8816,206
399,41671,8795,206
398,41693,8774,206
397,41715,8753,206
396,41737,8732,206
395,41758,8711,206
394,41780,8690,206
393,41802,8669,206
392,41823,8649,206
391,41845,8628,206
390,41866,8607,206
389,41888,8586,205
388,41909,8565,205
387,41931,8545,205
386,41952,8524,205
385,41974,8503,205
384,41995,8483,205
383,42016,8462,205
382,42037,8442,205
381,42059,8421,205
380,42080,8400,205
379,42101,8380,205
378,42122,8359,205
377,42143,8339,204
376,42164,8319,204
375,42185,8298,204
374,42206,8278,204
373,42227,8258,204
372,42248,8237,204
371,42269,8217,204
370,42290,8197,204
369,42311,8176,204
368,42331,8156,204
367,42352,8136,204
366,42373,8116,204
365,42394,8096,204
364,42414,8076,203
363,42435,8056,203
362,42455,8036,203
361,42476,8016,203
360,42496,7996,203
359,42517,7976,203
